LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
80m         Normal    Killing                  pod/hive-server-0                                Stopping container hiveserver2
80m         Normal    Scheduled                pod/hive-server-0                                Successfully assigned openshift-metering/hive-server-0 to ip-10-0-142-130.us-west-2.compute.internal
59m         Normal    Pulling                  pod/hive-server-0                                Pulling image "quay.io/openshift/origin-metering-hive:4.1"
72m         Normal    Pulled                   pod/hive-server-0                                Successfully pulled image "quay.io/openshift/origin-metering-hive:4.1"
79m         Normal    Created                  pod/hive-server-0                                Created container hiveserver2
79m         Normal    Started                  pod/hive-server-0                                Started container hiveserver2
64m         Warning   Unhealthy                pod/hive-server-0                                Readiness probe failed: dial tcp 10.130.2.232:10000: connect: connection refused
72m         Warning   Unhealthy                pod/hive-server-0                                Liveness probe failed: dial tcp 10.130.2.232:10000: connect: connection refused
72m         Normal    Killing                  pod/hive-server-0                                Container hiveserver2 failed liveness probe, will be restarted
36m         Normal    Killing                  pod/hive-server-0                                Stopping container hiveserver2
16m         Normal    Scheduled                pod/hive-server-0                                Successfully assigned openshift-metering/hive-server-0 to ip-10-0-148-140.us-west-2.compute.internal
16m         Normal    Pulling                  pod/hive-server-0                                Pulling image "quay.io/openshift/origin-metering-hive:4.1"
16m         Normal    Pulled                   pod/hive-server-0                                Successfully pulled image "quay.io/openshift/origin-metering-hive:4.1"
16m         Normal    Created                  pod/hive-server-0                                Created container hiveserver2
16m         Normal    Started                  pod/hive-server-0                                Started container hiveserver2
14m         Warning   Unhealthy                pod/hive-server-0                                Readiness probe failed: dial tcp 10.131.4.28:10000: connect: connection refused
80m         Normal    SuccessfulCreate         statefulset/hive-server                          create Pod hive-server-0 in StatefulSet hive-server successful
36m         Normal    SuccessfulDelete         statefulset/hive-server                          delete Pod hive-server-0 in StatefulSet hive-server successful
16m         Normal    SuccessfulCreate         statefulset/hive-server                          create Pod hive-server-0 in StatefulSet hive-server successful
144m        Normal    Killing                  pod/metering-operator-698f55bb84-4fpvm           Stopping container metering-operator
144m        Normal    Killing                  pod/metering-operator-698f55bb84-4fpvm           Stopping container tiller
140m        Normal    TaintManagerEviction     pod/metering-operator-698f55bb84-4fpvm           Cancelling deletion of Pod openshift-metering/metering-operator-698f55bb84-4fpvm
143m        Normal    Scheduled                pod/metering-operator-698f55bb84-98vsn           Successfully assigned openshift-metering/metering-operator-698f55bb84-98vsn to ip-10-0-130-174.us-west-2.compute.internal
142m        Normal    Pulling                  pod/metering-operator-698f55bb84-98vsn           Pulling image "quay.io/openshift/origin-metering-helm-operator:4.1"
142m        Normal    Pulled                   pod/metering-operator-698f55bb84-98vsn           Successfully pulled image "quay.io/openshift/origin-metering-helm-operator:4.1"
142m        Normal    Created                  pod/metering-operator-698f55bb84-98vsn           Created container metering-operator
142m        Normal    Started                  pod/metering-operator-698f55bb84-98vsn           Started container metering-operator
142m        Normal    Pulling                  pod/metering-operator-698f55bb84-98vsn           Pulling image "quay.io/openshift/origin-metering-helm-operator:4.1"
142m        Normal    Pulled                   pod/metering-operator-698f55bb84-98vsn           Successfully pulled image "quay.io/openshift/origin-metering-helm-operator:4.1"
142m        Normal    Created                  pod/metering-operator-698f55bb84-98vsn           Created container tiller
142m        Normal    Started                  pod/metering-operator-698f55bb84-98vsn           Started container tiller
142m        Warning   Unhealthy                pod/metering-operator-698f55bb84-98vsn           Liveness probe failed: Get http://10.131.2.21:44135/liveness: dial tcp 10.131.2.21:44135: connect: connection refused
142m        Warning   Unhealthy                pod/metering-operator-698f55bb84-98vsn           Readiness probe failed: Get http://10.131.2.21:44135/readiness: dial tcp 10.131.2.21:44135: connect: connection refused
62m         Normal    Killing                  pod/metering-operator-698f55bb84-98vsn           Stopping container metering-operator
62m         Normal    Killing                  pod/metering-operator-698f55bb84-98vsn           Stopping container tiller
62m         Normal    Scheduled                pod/metering-operator-698f55bb84-b7zrg           Successfully assigned openshift-metering/metering-operator-698f55bb84-b7zrg to ip-10-0-162-180.us-west-2.compute.internal
62m         Normal    Pulling                  pod/metering-operator-698f55bb84-b7zrg           Pulling image "quay.io/openshift/origin-metering-helm-operator:4.1"
61m         Normal    Pulled                   pod/metering-operator-698f55bb84-b7zrg           Successfully pulled image "quay.io/openshift/origin-metering-helm-operator:4.1"
61m         Normal    Created                  pod/metering-operator-698f55bb84-b7zrg           Created container metering-operator
61m         Normal    Started                  pod/metering-operator-698f55bb84-b7zrg           Started container metering-operator
